Customer_ID,Gender,Age,Membership_Since,Marital_Status,Region,Income_Group
C1000,Male,50,2020-11-01,Single,London,High
C1001,Female,18,2021-07-05,Divorced,London,Medium
C1002,Male,36,2021-08-18,Single,Birmingham,Medium
C1003,Male,19,2024-02-01,Married,Leeds,Medium
C1004,Male,70,2020-10-15,Married,Leeds,Medium
C1005,Female,61,2020-11-19,Single,Liverpool,High
C1006,Male,43,2021-07-13,Divorced,London,High
C1007,Male,49,2023-03-16,Married,London,Medium
C1008,Male,23,2022-06-14,Married,Manchester,Medium
C1009,Female,49,2024-06-06,Married,Liverpool,High
C1010,Male,21,2023-05-03,Single,Manchester,Medium
C1011,Male,28,2021-07-07,Married,Manchester,Low
C1012,Male,34,2023-02-27,Divorced,Manchester,Medium
C1013,Male,55,2023-04-27,Married,Birmingham,Medium
C1014,Female,41,2024-01-20,Married,Birmingham,Low
C1015,Male,22,2023-11-15,Divorced,Manchester,Low
C1016,Female,69,2023-05-18,Married,Liverpool,High
C1017,Female,51,2023-07-11,Single,London,High
C1018,Female,23,2024-03-21,Single,Liverpool,Low
C1019,Male,39,2023-06-07,Single,Leeds,Low
C1020,Female,28,2022-05-04,Divorced,Birmingham,High
C1021,Male,65,2022-01-30,Married,London,Medium
C1022,Female,33,2022-12-19,Single,London,Low
C1023,Female,50,2020-10-02,Divorced,Leeds,High
C1024,Female,26,2020-06-25,Married,Leeds,Medium
C1025,Female,23,2024-04-20,Divorced,Manchester,Low
C1026,Female,33,2023-11-24,Single,Birmingham,Medium
C1027,Female,46,2021-09-08,Single,Birmingham,High
C1028,Female,20,2021-08-30,Single,Liverpool,Low
C1029,Female,37,2021-06-07,Divorced,Manchester,Medium
C1030,Male,53,2022-09-19,Divorced,Manchester,Low
C1031,Male,36,2023-11-26,Single,Manchester,Medium
C1032,Female,43,2022-07-11,Divorced,Manchester,High
C1033,Female,20,2022-08-02,Single,Birmingham,High
C1034,Female,36,2023-08-26,Single,Birmingham,Low
C1035,Male,37,2020-11-19,Married,Manchester,Medium
C1036,Female,49,2024-05-15,Divorced,Liverpool,Low
C1037,Male,24,2023-04-05,Single,London,Low
C1038,Male,69,2024-02-10,Single,London,Medium
C1039,Male,58,2023-12-15,Divorced,Liverpool,Medium
C1040,Male,50,2024-06-22,Married,Manchester,Medium
C1041,Male,57,2023-09-01,Married,Birmingham,High
C1042,Female,56,2024-02-26,Single,London,Low
C1043,Female,35,2024-03-07,Divorced,Leeds,Low
C1044,Female,57,2023-07-17,Married,Leeds,High
C1045,Female,18,2023-10-18,Divorced,Liverpool,Medium
C1046,Female,28,2023-12-28,Divorced,Manchester,High
C1047,Male,45,2023-10-08,Single,London,High
C1048,Female,42,2022-01-02,Married,Manchester,High
C1049,Female,67,2023-09-14,Single,London,Low
C1050,Male,40,2022-02-15,Married,Liverpool,High
C1051,Female,48,2020-10-10,Married,Liverpool,Low
C1052,Male,47,2021-10-06,Married,Leeds,Low
C1053,Female,59,2023-11-19,Married,Manchester,Low
C1054,Male,52,2021-06-09,Married,Leeds,Medium
C1055,Female,24,2021-03-01,Divorced,Manchester,Low
C1056,Female,33,2021-09-10,Single,Leeds,Low
C1057,Male,43,2021-01-28,Divorced,Birmingham,Medium
C1058,Male,65,2021-01-20,Married,Birmingham,Low
C1059,Male,69,2022-06-30,Single,Birmingham,High
C1060,Male,66,2022-10-04,Married,Birmingham,High
C1061,Male,19,2021-06-29,Single,London,Low
C1062,Male,18,2023-06-20,Divorced,Birmingham,Medium
C1063,Male,65,2022-12-26,Single,Liverpool,High
C1064,Male,29,2023-09-07,Single,Liverpool,Medium
C1065,Female,22,2022-10-01,Single,London,Medium
C1066,Female,54,2020-08-04,Single,Birmingham,High
C1067,Male,49,2024-05-10,Single,Birmingham,Medium
C1068,Female,26,2023-07-06,Married,Birmingham,High
C1069,Female,58,2023-11-21,Single,Leeds,Medium
C1070,Female,52,2020-12-28,Single,Manchester,High
C1071,Female,36,2021-10-30,Divorced,Leeds,Low
C1072,Male,65,2023-01-13,Single,Manchester,High
C1073,Female,33,2023-06-29,Divorced,Birmingham,High
C1074,Male,20,2020-11-18,Married,Birmingham,High
C1075,Female,37,2024-04-11,Single,Leeds,High
C1076,Female,41,2022-01-01,Divorced,Leeds,Medium
C1077,Female,50,2024-02-23,Divorced,Manchester,Low
C1078,Male,41,2024-05-07,Married,Liverpool,High
C1079,Female,69,2021-09-21,Single,Manchester,Medium
C1080,Male,28,2020-09-25,Single,Leeds,Low
C1081,Female,66,2023-05-24,Divorced,Leeds,Low
C1082,Male,25,2022-07-24,Single,London,Low
C1083,Female,53,2021-04-30,Divorced,Leeds,Low
C1084,Male,55,2023-05-01,Single,London,High
C1085,Male,57,2020-07-22,Divorced,Liverpool,High
C1086,Female,37,2022-07-15,Single,Manchester,Medium
C1087,Male,52,2023-08-06,Married,Manchester,Medium
C1088,Female,65,2022-10-22,Single,London,Medium
C1089,Female,42,2023-01-23,Single,Manchester,Low
C1090,Female,52,2021-09-12,Married,Leeds,Low
C1091,Female,42,2022-03-18,Single,Birmingham,High
C1092,Female,46,2024-04-27,Married,London,Low
C1093,Female,35,2020-10-27,Single,Manchester,Low
C1094,Female,63,2022-08-05,Divorced,London,Low
C1095,Female,35,2023-07-17,Divorced,London,Medium
C1096,Female,19,2021-07-16,Single,Birmingham,Medium
C1097,Female,52,2024-04-14,Single,Leeds,High
C1098,Female,33,2024-06-07,Single,London,Low
C1099,Male,58,2020-09-21,Divorced,Manchester,Low
C1100,Male,53,2020-08-21,Single,Liverpool,High
C1101,Female,50,2021-01-12,Divorced,London,Low
C1102,Female,21,2022-07-05,Married,London,Low
C1103,Female,50,2024-02-17,Divorced,Birmingham,Medium
C1104,Female,31,2022-09-30,Divorced,Leeds,High
C1105,Female,38,2023-09-22,Married,Liverpool,High
C1106,Female,65,2022-10-29,Divorced,Manchester,High
C1107,Female,37,2021-10-06,Single,Liverpool,High
C1108,Female,25,2023-08-26,Single,Manchester,Medium
C1109,Male,24,2020-10-03,Divorced,Leeds,Medium
C1110,Female,20,2023-06-09,Single,Manchester,Low
C1111,Male,34,2021-02-19,Divorced,Birmingham,Low
C1112,Female,50,2021-09-08,Single,Birmingham,Low
C1113,Female,65,2022-05-26,Single,Birmingham,Low
C1114,Male,29,2022-04-23,Divorced,Birmingham,Medium
C1115,Female,68,2024-02-13,Single,Liverpool,High
C1116,Male,39,2022-06-19,Divorced,Leeds,Medium
C1117,Female,39,2022-10-08,Single,Manchester,Low
C1118,Female,63,2023-07-02,Single,Manchester,Medium
C1119,Male,47,2021-11-21,Married,Birmingham,High
C1120,Female,55,2020-08-07,Married,Birmingham,High
C1121,Male,55,2021-10-13,Divorced,London,Medium
C1122,Female,62,2022-02-08,Married,Leeds,Medium
C1123,Male,68,2020-09-07,Divorced,Liverpool,Medium
C1124,Male,25,2023-02-09,Married,Manchester,Low
C1125,Female,44,2023-10-23,Single,London,Medium
C1126,Female,44,2021-07-07,Divorced,London,Medium
C1127,Male,51,2022-09-21,Divorced,Manchester,Medium
C1128,Female,38,2023-03-20,Single,Liverpool,High
C1129,Female,47,2021-06-28,Divorced,London,High
C1130,Female,50,2023-11-17,Divorced,London,Low
C1131,Male,45,2023-01-02,Married,Leeds,Low
C1132,Male,64,2024-03-13,Divorced,Liverpool,High
C1133,Male,50,2023-06-20,Single,London,High
C1134,Male,22,2021-02-23,Married,Liverpool,High
C1135,Male,65,2021-05-30,Married,Manchester,Medium
C1136,Male,36,2021-02-10,Single,Birmingham,Medium
C1137,Male,21,2023-12-19,Single,London,High
C1138,Male,52,2023-11-02,Married,Leeds,Medium
C1139,Male,66,2024-01-12,Divorced,Manchester,Medium
C1140,Female,34,2021-09-01,Married,Liverpool,Low
C1141,Male,61,2024-01-11,Single,Manchester,High
C1142,Female,45,2021-12-11,Married,London,High
C1143,Female,47,2021-06-08,Single,Liverpool,Medium
C1144,Female,46,2023-11-06,Married,Birmingham,High
C1145,Male,63,2020-07-07,Divorced,Manchester,Low
C1146,Male,70,2023-11-22,Married,London,Low
C1147,Male,23,2023-05-18,Married,Leeds,Low
C1148,Male,52,2022-07-26,Single,Liverpool,High
C1149,Female,58,2023-06-11,Single,Manchester,High
C1150,Male,54,2020-08-05,Single,Manchester,High
C1151,Male,41,2023-02-16,Married,Birmingham,High
C1152,Male,46,2023-02-23,Divorced,Birmingham,High
C1153,Male,66,2021-01-15,Single,Leeds,Low
C1154,Male,63,2024-04-11,Single,Leeds,Medium
C1155,Female,70,2023-07-16,Married,London,Low
C1156,Male,48,2022-09-21,Single,London,High
C1157,Female,52,2021-05-21,Divorced,Leeds,Low
C1158,Male,50,2021-05-16,Divorced,Leeds,High
C1159,Female,69,2021-06-11,Single,Liverpool,High
C1160,Male,38,2023-12-09,Single,Birmingham,Low
C1161,Male,49,2023-08-17,Married,London,High
C1162,Female,40,2023-03-31,Divorced,Birmingham,Medium
C1163,Female,50,2023-07-15,Divorced,Birmingham,High
C1164,Female,20,2022-01-10,Single,Leeds,Medium
C1165,Male,35,2021-07-06,Married,Liverpool,Medium
C1166,Female,42,2023-09-14,Divorced,Manchester,High
C1167,Male,59,2022-11-24,Divorced,Liverpool,Low
C1168,Male,48,2021-03-05,Married,Liverpool,Medium
C1169,Female,20,2022-09-05,Married,Birmingham,Low
C1170,Female,57,2022-10-04,Divorced,Liverpool,Medium
C1171,Male,63,2024-01-09,Divorced,London,High
C1172,Male,41,2024-05-24,Married,Birmingham,High
C1173,Female,67,2020-06-24,Divorced,London,Medium
C1174,Female,49,2022-03-29,Single,Manchester,High
C1175,Female,64,2023-07-17,Single,Birmingham,Medium
C1176,Male,39,2023-03-14,Married,Manchester,High
C1177,Male,40,2022-05-03,Married,Birmingham,Low
C1178,Male,19,2021-06-25,Married,Leeds,High
C1179,Male,44,2024-03-20,Single,Liverpool,Low
C1180,Male,59,2023-01-18,Divorced,Leeds,High
C1181,Male,19,2023-11-23,Single,Manchester,Low
C1182,Female,43,2024-04-09,Divorced,Liverpool,High
C1183,Male,34,2022-08-01,Single,Birmingham,Low
C1184,Male,57,2023-02-10,Divorced,Liverpool,Medium
C1185,Male,50,2021-09-17,Single,London,Medium
C1186,Female,26,2022-12-23,Married,Liverpool,Low
C1187,Male,60,2023-05-25,Single,London,High
C1188,Male,65,2022-04-15,Divorced,Liverpool,Low
C1189,Female,56,2021-03-14,Single,London,High
C1190,Male,46,2021-04-27,Single,Manchester,Medium
C1191,Male,59,2023-01-06,Single,Leeds,High
C1192,Male,43,2024-04-09,Married,Birmingham,Medium
C1193,Male,52,2022-07-26,Single,Liverpool,High
C1194,Male,67,2023-05-03,Married,Leeds,High
C1195,Female,42,2022-07-08,Married,Birmingham,High
C1196,Female,41,2023-01-04,Single,Birmingham,Low
C1197,Female,30,2020-09-18,Single,London,Low
C1198,Male,24,2022-08-05,Single,Manchester,Medium
C1199,Male,53,2023-05-28,Divorced,Manchester,Medium
C1200,Male,62,2024-05-20,Single,Leeds,Low
C1201,Female,37,2022-08-22,Married,Manchester,Medium
C1202,Male,18,2023-03-10,Single,Liverpool,Low
C1203,Male,25,2022-09-23,Divorced,Manchester,High
C1204,Female,63,2022-11-28,Single,Leeds,Medium
C1205,Male,33,2022-04-06,Divorced,Manchester,Medium
C1206,Female,31,2022-08-16,Divorced,Liverpool,Low
C1207,Female,29,2024-04-15,Single,London,Medium
C1208,Female,68,2022-03-21,Married,Leeds,Medium
C1209,Male,40,2022-10-10,Divorced,London,High
C1210,Male,32,2024-05-07,Single,London,Medium
C1211,Male,45,2023-12-27,Single,London,High
C1212,Male,51,2021-08-22,Married,Birmingham,Low
C1213,Male,19,2022-12-31,Divorced,Birmingham,Medium
C1214,Male,49,2022-06-27,Divorced,London,High
C1215,Male,40,2022-10-03,Single,Leeds,Low
C1216,Female,39,2024-03-14,Single,Liverpool,Medium
C1217,Male,68,2024-04-03,Married,Liverpool,Low
C1218,Female,42,2023-07-18,Married,Manchester,Medium
C1219,Male,39,2023-09-24,Divorced,Leeds,Low
C1220,Male,39,2021-04-05,Divorced,Birmingham,Low
C1221,Male,66,2022-12-13,Single,London,High
C1222,Female,69,2021-12-26,Divorced,Manchester,Low
C1223,Female,59,2023-01-30,Married,Liverpool,Medium
C1224,Female,23,2021-10-02,Married,Birmingham,Medium
C1225,Female,32,2023-06-12,Single,Birmingham,High
C1226,Male,60,2022-12-07,Married,London,Medium
C1227,Female,54,2024-03-16,Married,Liverpool,Medium
C1228,Male,50,2021-08-26,Married,Leeds,Medium
C1229,Male,25,2020-08-05,Married,Birmingham,Low
C1230,Female,70,2020-10-21,Single,London,Low
C1231,Female,61,2023-03-05,Single,Leeds,Medium
C1232,Female,61,2023-06-15,Divorced,Liverpool,High
C1233,Female,22,2023-07-02,Married,Birmingham,Low
C1234,Female,56,2023-09-08,Divorced,Leeds,High
C1235,Female,21,2023-01-07,Single,Leeds,Medium
C1236,Female,23,2020-07-24,Single,Leeds,Medium
C1237,Female,62,2021-07-10,Single,Birmingham,Low
C1238,Male,49,2021-02-03,Single,Birmingham,Medium
C1239,Female,69,2022-09-15,Single,Manchester,Low
C1240,Female,47,2023-08-16,Single,Liverpool,Medium
C1241,Male,64,2021-11-22,Single,London,Medium
C1242,Female,52,2022-08-25,Married,Leeds,Low
C1243,Male,57,2022-12-14,Divorced,Manchester,Low
C1244,Male,69,2021-03-19,Single,London,Low
C1245,Female,33,2022-02-19,Married,Manchester,Medium
C1246,Male,30,2023-11-25,Married,Birmingham,Medium
C1247,Male,67,2023-08-01,Divorced,Leeds,High
C1248,Male,59,2022-01-11,Single,London,Low
C1249,Male,47,2024-02-03,Divorced,London,Medium
C1250,Female,36,2022-05-02,Single,London,Medium
C1251,Male,34,2023-01-19,Married,London,Low
C1252,Female,36,2024-05-01,Married,London,High
C1253,Male,45,2023-12-03,Married,Manchester,Low
C1254,Male,43,2023-12-06,Married,Leeds,High
C1255,Male,54,2023-03-15,Divorced,Birmingham,Medium
C1256,Male,43,2023-06-24,Single,Birmingham,High
C1257,Female,70,2022-06-27,Single,Birmingham,Medium
C1258,Female,40,2024-03-30,Divorced,Birmingham,Low
C1259,Male,26,2020-07-16,Single,Manchester,Low
C1260,Male,29,2021-08-23,Married,Liverpool,Low
C1261,Female,70,2023-10-25,Single,Leeds,High
C1262,Male,18,2023-08-22,Married,London,Medium
C1263,Male,18,2024-06-17,Divorced,Liverpool,Low
C1264,Male,64,2022-04-19,Single,Birmingham,Low
C1265,Female,51,2024-05-17,Divorced,Liverpool,Medium
C1266,Female,49,2023-06-13,Single,Leeds,Low
C1267,Female,65,2022-02-09,Married,London,Medium
C1268,Male,42,2021-09-16,Divorced,London,Medium
C1269,Male,57,2021-07-31,Single,Leeds,Medium
C1270,Female,62,2024-01-15,Married,Leeds,Medium
C1271,Female,70,2022-06-25,Divorced,Birmingham,Medium
C1272,Female,18,2021-02-09,Divorced,London,High
C1273,Female,33,2023-01-17,Single,Liverpool,Low
C1274,Male,56,2020-11-26,Single,Manchester,High
C1275,Female,22,2022-12-25,Single,Manchester,Low
C1276,Male,39,2023-03-20,Married,Leeds,High
C1277,Female,46,2021-03-18,Single,Birmingham,Medium
C1278,Male,20,2021-02-10,Divorced,Manchester,Low
C1279,Female,29,2021-12-19,Divorced,London,Low
C1280,Female,43,2021-10-24,Single,Leeds,High
C1281,Female,33,2023-06-17,Single,Liverpool,High
C1282,Female,68,2021-12-05,Divorced,Leeds,Low
C1283,Male,54,2022-03-26,Married,Liverpool,High
C1284,Female,39,2021-02-20,Single,Leeds,High
C1285,Male,46,2023-03-15,Single,Leeds,High
C1286,Male,31,2021-07-08,Divorced,Leeds,Medium
C1287,Male,45,2024-06-16,Single,Liverpool,Medium
C1288,Male,22,2020-09-30,Married,Liverpool,High
C1289,Female,64,2023-07-08,Divorced,Leeds,High
C1290,Male,66,2022-03-21,Single,Manchester,Medium
C1291,Male,47,2021-03-06,Divorced,Birmingham,Medium
C1292,Male,63,2022-08-20,Single,Birmingham,Low
C1293,Female,69,2024-04-11,Single,Birmingham,Low
C1294,Female,22,2021-05-02,Single,Liverpool,Medium
C1295,Female,29,2021-11-03,Married,Liverpool,High
C1296,Female,33,2023-01-14,Married,Manchester,High
C1297,Male,43,2023-05-28,Divorced,Birmingham,High
C1298,Male,43,2022-08-22,Single,Birmingham,High
C1299,Female,65,2020-07-01,Single,Leeds,Low
