Customer_ID,Loyalty_Tier,Points_Earned,Points_Redeemed,Last_Redemption_Date
C1000,Platinum,2209,820,2024-09-02
C1001,Silver,6153,2821,2025-03-28
C1002,Silver,5898,1055,2025-04-10
C1003,Platinum,3178,5439,2025-01-05
C1004,Gold,8610,5932,2025-01-31
C1005,Platinum,9895,1886,2024-11-10
C1006,Silver,3544,5263,2024-11-03
C1007,Silver,6522,3547,2025-01-08
C1008,Silver,3370,2927,2024-08-30
C1009,Silver,4281,7354,2024-08-30
C1010,Gold,5710,6538,2024-09-17
C1011,Gold,1328,2504,2025-02-11
C1012,Silver,6579,2430,2024-11-03
C1013,Gold,5228,5341,2025-06-01
C1014,Gold,7794,5270,2024-07-10
C1015,Gold,1120,2663,2024-08-25
C1016,Silver,7749,7248,2024-08-15
C1017,Platinum,1964,5661,2025-01-26
C1018,Platinum,5224,4367,2024-07-21
C1019,Platinum,4675,2926,2024-11-04
C1020,Silver,6694,4293,2024-09-14
C1021,Gold,3076,7873,2024-08-20
C1022,Gold,7865,3013,2025-01-10
C1023,Silver,6643,4303,2024-06-29
C1024,Silver,9524,2827,2024-07-08
C1025,Platinum,6249,1117,2025-02-15
C1026,Platinum,2316,2665,2025-04-04
C1027,Silver,2196,3808,2025-02-02
C1028,Platinum,4170,6952,2024-08-14
C1029,Gold,1355,6743,2024-10-17
C1030,Silver,1028,6904,2025-02-07
C1031,Silver,2013,1492,2024-11-20
C1032,Gold,3024,5924,2025-03-31
C1033,Gold,9490,1877,2024-08-23
C1034,Gold,6839,4881,2025-05-23
C1035,Platinum,6791,6971,2024-08-05
C1036,Silver,1754,3674,2024-07-19
C1037,Platinum,9961,6706,2025-02-25
C1038,Gold,4735,5282,2024-10-10
C1039,Platinum,2238,1805,2025-05-17
C1040,Gold,2906,6060,2025-05-24
C1041,Platinum,8399,7960,2024-06-27
C1042,Platinum,8961,5333,2024-11-05
C1043,Gold,5601,3578,2025-03-29
C1044,Platinum,2460,3186,2025-02-22
C1045,Silver,8669,3483,2024-10-05
C1046,Platinum,2416,7759,2024-11-16
C1047,Platinum,8766,6554,2025-03-11
C1048,Silver,2428,7857,2024-11-24
C1049,Gold,5378,6490,2025-04-20
C1050,Silver,8529,3023,2025-02-28
C1051,Platinum,5474,4082,2024-08-16
C1052,Gold,4071,1985,2025-04-20
C1053,Platinum,1555,2600,2024-10-21
C1054,Platinum,9547,7397,2024-09-17
C1055,Silver,2563,5081,2024-11-04
C1056,Silver,2040,4215,2024-09-15
C1057,Gold,3686,6109,2024-08-08
C1058,Gold,3553,2501,2025-05-30
C1059,Gold,2779,1887,2024-09-18
C1060,Platinum,1075,3683,2025-01-16
C1061,Silver,5326,7052,2024-12-26
C1062,Silver,6835,1530,2024-11-29
C1063,Silver,6057,2265,2024-06-24
C1064,Gold,3349,5263,2024-08-24
C1065,Silver,3773,1720,2024-08-09
C1066,Silver,3262,5430,2024-06-26
C1067,Silver,4229,5471,2025-05-14
C1068,Gold,1392,4306,2025-04-07
C1069,Silver,2108,2914,2024-07-14
C1070,Gold,5362,5597,2025-06-03
C1071,Silver,6188,4845,2024-09-18
C1072,Silver,9802,6535,2025-04-20
C1073,Silver,6057,2118,2025-03-02
C1074,Gold,4998,1763,2024-12-02
C1075,Gold,9864,7023,2024-10-31
C1076,Silver,7566,1371,2025-03-02
C1077,Platinum,4677,1334,2024-10-01
C1078,Gold,6796,3322,2024-08-05
C1079,Gold,7363,1418,2024-12-22
C1080,Silver,9123,2224,2024-12-28
C1081,Platinum,9222,7098,2025-03-13
C1082,Silver,8690,2913,2025-06-04
C1083,Gold,2400,1813,2024-12-17
C1084,Gold,5071,6493,2025-05-30
C1085,Silver,9808,4998,2024-12-04
C1086,Silver,3786,2605,2025-02-14
C1087,Platinum,8169,3068,2024-06-28
C1088,Platinum,1870,5923,2025-06-01
C1089,Gold,5196,1638,2025-04-21
C1090,Platinum,3739,709,2024-11-02
C1091,Platinum,1940,1564,2024-09-27
C1092,Gold,1340,5411,2024-07-08
C1093,Gold,8422,2720,2024-11-17
C1094,Gold,5133,733,2024-06-29
C1095,Gold,1659,1292,2024-10-08
C1096,Silver,4457,6503,2024-07-11
C1097,Gold,3975,6209,2024-07-13
C1098,Gold,1453,7436,2024-12-07
C1099,Gold,9184,3610,2024-09-13
C1100,Platinum,6442,2666,2025-03-13
C1101,Gold,1818,834,2025-05-09
C1102,Silver,5868,1859,2024-09-14
C1103,Silver,1012,6235,2024-07-16
C1104,Gold,8727,5693,2025-02-14
C1105,Silver,1920,1714,2025-06-21
C1106,Platinum,5920,4919,2025-02-14
C1107,Gold,3418,7654,2025-03-09
C1108,Silver,7475,7814,2025-01-08
C1109,Silver,3017,6386,2025-03-18
C1110,Gold,8957,783,2024-12-28
C1111,Silver,5792,712,2025-03-17
C1112,Gold,7830,2158,2025-04-29
C1113,Silver,3434,4578,2024-12-26
C1114,Platinum,3868,6337,2024-07-14
C1115,Silver,2438,5524,2024-08-11
C1116,Silver,4543,5347,2025-05-03
C1117,Gold,2781,1917,2024-12-22
C1118,Silver,7343,2886,2024-10-04
C1119,Gold,3263,6417,2024-10-27
C1120,Platinum,1211,5641,2025-05-02
C1121,Gold,9699,2294,2024-12-29
C1122,Gold,7159,6488,2025-05-16
C1123,Silver,8027,604,2025-05-29
C1124,Platinum,1331,6085,2025-05-12
C1125,Gold,7860,6078,2024-12-14
C1126,Silver,9044,6051,2024-12-02
C1127,Silver,9169,5365,2024-12-22
C1128,Gold,9742,7359,2025-02-14
C1129,Silver,6720,4393,2025-05-24
C1130,Gold,1727,4345,2025-05-14
C1131,Gold,5975,4190,2024-09-05
C1132,Gold,4243,7406,2024-11-21
C1133,Platinum,1648,6555,2025-05-07
C1134,Gold,6095,6623,2024-07-24
C1135,Silver,7614,3792,2024-12-30
C1136,Platinum,8135,878,2024-10-03
C1137,Silver,2009,3793,2025-03-02
C1138,Platinum,2550,3829,2024-12-19
C1139,Platinum,9995,5308,2024-07-09
C1140,Platinum,8492,3938,2024-10-29
C1141,Platinum,4401,5968,2024-12-09
C1142,Silver,8447,724,2025-01-31
C1143,Gold,6424,6333,2025-05-13
C1144,Silver,5241,1237,2025-04-18
C1145,Gold,4161,735,2024-07-07
C1146,Silver,5155,4778,2024-08-17
C1147,Platinum,8478,1211,2025-06-12
C1148,Platinum,9719,6488,2025-01-27
C1149,Gold,7617,7087,2024-08-15
C1150,Gold,6660,2388,2025-05-14
C1151,Silver,9624,5218,2025-04-24
C1152,Gold,2176,7673,2024-08-25
C1153,Silver,8956,1759,2025-02-20
C1154,Gold,9592,5746,2025-04-10
C1155,Gold,3233,7771,2024-09-13
C1156,Gold,5700,1248,2025-01-11
C1157,Platinum,6906,4486,2025-06-10
C1158,Platinum,8860,4051,2025-02-03
C1159,Silver,8526,6798,2025-05-27
C1160,Gold,6559,6900,2025-03-09
C1161,Silver,7732,6878,2025-04-15
C1162,Gold,3513,7143,2024-11-16
C1163,Platinum,8830,6932,2025-02-27
C1164,Platinum,7944,1009,2025-05-25
C1165,Gold,8910,6171,2024-10-12
C1166,Gold,6649,2323,2025-05-09
C1167,Platinum,2096,7352,2024-11-27
C1168,Platinum,2951,5380,2025-01-16
C1169,Silver,8799,3441,2025-04-01
C1170,Platinum,9804,7419,2025-01-15
C1171,Gold,1595,6941,2025-06-08
C1172,Silver,8875,4732,2025-03-09
C1173,Gold,5439,7019,2025-01-18
C1174,Silver,6972,2634,2025-01-16
C1175,Gold,1858,2277,2024-09-11
C1176,Platinum,6519,1722,2024-10-02
C1177,Gold,8385,7080,2025-05-15
C1178,Silver,9636,5929,2024-10-31
C1179,Gold,5317,4167,2025-05-20
C1180,Silver,4454,2277,2025-03-20
C1181,Gold,2030,1804,2025-04-17
C1182,Platinum,8906,7990,2025-06-08
C1183,Platinum,2447,5359,2024-12-06
C1184,Gold,3850,1201,2025-02-26
C1185,Gold,9106,3489,2025-06-22
C1186,Gold,8151,651,2024-11-02
C1187,Silver,7952,1825,2025-05-30
C1188,Gold,5055,1801,2025-05-15
C1189,Gold,6402,4222,2025-04-21
C1190,Silver,2672,2211,2025-04-09
C1191,Platinum,5532,5627,2025-01-30
C1192,Gold,5924,1306,2024-09-15
C1193,Gold,7085,4830,2024-10-09
C1194,Platinum,8734,3222,2025-03-31
C1195,Platinum,5864,5156,2024-11-18
C1196,Silver,2221,1825,2025-05-31
C1197,Gold,3860,4633,2025-02-21
C1198,Gold,9428,1659,2024-11-03
C1199,Silver,4253,3369,2025-04-16
C1200,Platinum,4782,5016,2025-04-09
C1201,Silver,7957,1742,2025-02-14
C1202,Platinum,1766,847,2025-06-24
C1203,Silver,3681,2331,2025-02-25
C1204,Platinum,8710,2069,2025-05-22
C1205,Silver,8482,4435,2025-04-15
C1206,Platinum,6086,7746,2025-06-08
C1207,Platinum,8964,7391,2024-11-17
C1208,Platinum,3665,2418,2024-10-08
C1209,Platinum,4513,6916,2024-09-18
C1210,Platinum,1495,3732,2025-02-11
C1211,Gold,6822,4258,2024-07-22
C1212,Platinum,3072,6497,2024-09-17
C1213,Gold,8795,2855,2024-10-03
C1214,Platinum,9529,1897,2025-01-17
C1215,Gold,4949,7619,2024-07-19
C1216,Gold,7033,3280,2025-03-02
C1217,Silver,9328,7676,2025-03-15
C1218,Platinum,3555,2324,2024-06-29
C1219,Silver,7370,2991,2025-04-27
C1220,Silver,5415,7780,2025-02-17
C1221,Platinum,6959,4560,2024-07-09
C1222,Silver,6993,5824,2025-02-11
C1223,Platinum,6021,904,2024-07-11
C1224,Silver,3907,2221,2025-06-12
C1225,Platinum,3914,7496,2024-12-15
C1226,Platinum,4870,5816,2024-08-09
C1227,Platinum,6085,3325,2024-09-26
C1228,Gold,7546,4345,2024-12-26
C1229,Silver,1395,4710,2024-09-19
C1230,Gold,1938,3692,2024-09-28
C1231,Silver,3510,6272,2025-06-01
C1232,Silver,5636,564,2025-03-24
C1233,Silver,2649,1799,2025-03-10
C1234,Gold,4690,5420,2025-06-07
C1235,Silver,4435,6882,2024-11-07
C1236,Gold,4201,6945,2025-06-11
C1237,Platinum,5179,1915,2025-02-03
C1238,Silver,9405,4093,2025-01-22
C1239,Silver,4237,1468,2025-01-07
C1240,Platinum,4862,868,2024-09-28
C1241,Platinum,1058,732,2024-09-07
C1242,Silver,5938,2742,2025-02-27
C1243,Platinum,3971,5502,2025-03-17
C1244,Gold,9314,3583,2025-04-06
C1245,Gold,4345,1420,2024-12-16
C1246,Silver,3486,1188,2024-11-10
C1247,Gold,1561,4772,2025-06-12
C1248,Gold,4981,6860,2025-03-31
C1249,Silver,7261,5630,2025-02-01
C1250,Platinum,2737,1969,2025-01-15
C1251,Silver,4554,5225,2024-08-23
C1252,Gold,8095,4759,2025-03-24
C1253,Silver,9266,4122,2024-12-29
C1254,Silver,1294,2600,2025-03-28
C1255,Gold,9212,2765,2024-09-15
C1256,Gold,6330,4289,2024-08-13
C1257,Silver,5655,7642,2024-11-12
C1258,Gold,2109,1323,2024-10-19
C1259,Gold,4771,3931,2025-03-30
C1260,Gold,9563,7028,2024-11-24
C1261,Gold,7123,4651,2024-11-12
C1262,Gold,8647,4713,2024-10-24
C1263,Gold,2174,7543,2024-08-03
C1264,Platinum,2164,7920,2024-07-30
C1265,Silver,9712,1297,2025-03-10
C1266,Gold,5466,1279,2025-02-02
C1267,Silver,6538,7659,2025-06-12
C1268,Platinum,8111,3350,2025-04-14
C1269,Gold,9434,3392,2025-03-07
C1270,Silver,3800,7847,2025-01-11
C1271,Gold,5607,6034,2024-11-02
C1272,Gold,8262,2393,2025-05-13
C1273,Gold,2541,3806,2024-12-03
C1274,Gold,3765,3402,2024-06-24
C1275,Gold,5491,5303,2024-06-25
C1276,Gold,4083,5699,2025-02-23
C1277,Gold,6356,4218,2025-06-22
C1278,Platinum,2857,521,2025-04-06
C1279,Platinum,1769,2000,2024-09-19
C1280,Gold,2422,1342,2025-06-12
C1281,Gold,9598,2260,2024-10-24
C1282,Platinum,3972,4141,2024-09-11
C1283,Platinum,2872,5712,2024-08-04
C1284,Platinum,6599,691,2024-09-08
C1285,Gold,3269,5614,2025-03-22
C1286,Silver,6275,5722,2025-06-17
C1287,Silver,5749,895,2024-10-21
C1288,Silver,7571,7674,2025-02-23
C1289,Silver,6072,7283,2024-12-13
C1290,Gold,6463,5614,2024-06-29
C1291,Silver,8450,5162,2024-10-28
C1292,Platinum,9420,4826,2024-10-14
C1293,Platinum,4959,1373,2025-02-25
C1294,Silver,2313,3121,2024-11-22
C1295,Platinum,8847,4835,2024-08-04
C1296,Gold,2070,589,2025-03-30
C1297,Silver,4285,2779,2024-11-04
C1298,Silver,9949,956,2025-01-06
C1299,Gold,4095,2780,2024-07-23
